V1,MID,ip.location,not.mturk.duplicate
R_cANYoZjyuctLijb,A32ALQW4U1W3Y5,India,1
R_eJ8B3XPLWP342r3,A32FIOOQE8U98U,USA,1
R_1HrFFrjYjC1oK57,A32UG2P47Y7M1A,Europe,1
R_eQZXjGz05WNjomp,A32VLTWRJ1EP5T,USA,1
R_0dEfDf2EUpRoHK5,A32W422DMUY3ZY,USA,1
R_3NIFdiAl1lJPqHr,A332MXF8R3BG2Z,USA,1
R_2squlKRKYgNmejj,A33DZYZ8E2LO1D,USA,1
R_8IFlsHvixxDTiK1,A33KTU8KJ5CP2T,India,1
R_3BQ8SVPsxlNNs2N,A33QI63NVR8CUO,USA,1
R_cBg8mQrfExdcR2B,A33XI8ZN4NZ0SQ,USA,1
R_5yzg60HqZ5uCHpX,A3454T4PU9GJM0,USA,1
R_8kNjr2vksC0Df8h,A34X36MQPFKF8V,USA,1
R_0lh88Wyd3lAWrAh,A35BQPABKN4Q8C,USA,1
R_8H7CRuYKD5d6Akt,A35IMPTI2U7XGC,USA,1
R_71jF4AkJiTy9AnH,A35KO5LPASBFI9,USA,1
R_1Zmyd7GPHdNfob3,A35NVKW9R833VF,USA,1
R_9GiIG8vgnXHKGcl,A36470UBRH28GO,USA,1
R_1IgkTCBdIf9empv,A3660MNQ6IU18Y,USA,1
R_9vlm5FHEni9z6tL,A36LOA6VLJU157,USA,1
R_9QWXkvxZkFmFGh7,A36O0OQ16U4WX6,USA,1
R_5q1KWWrhqFVytqB,A36V8H6EKBQ3DC,USA,1
R_e2rxOhoiSqmAD4N,A375OH1S7FO7L8,USA,1
R_7ZEVlsOq0OL4BBH,A3760PCQD2MPIO,USA,1
R_6yBLfFVguR2w257,A37BU4T906EXCT,USA,1
R_eqGXV0TIDYMD297,A37EV8RZ82WT8E,USA,1
R_6sUlbQTk9SFXCqF,A37I58C4258IPX,USA,1
R_5dqfCi5zbO7mZiR,A37LY5UTJV2KYZ,USA,1
R_0MOoyRT2qud2zKl,A37QZIPI5JW6Q9,India,1
R_1Bb9TLPjasOcHKR,A380PU6ZH8UEBV,USA,1
R_1QSXYH2kt4IArad,A382OV019QLW6H,USA,1
R_cMfT0K5eSrKDHEx,A3862RIFFUV141,USA,1
R_81fKMP8IPkGSEip,A38DC3BG1ZCVZ2,USA,1
R_6ndwfnfKH4BBvP7,A38IXDI5371P7Z,USA,1
R_6fFbzn22FsLQ3pr,A38VMTKS30TQZB,USA,1
R_9oTGBeyOeaWMIhn,A38Z4HGE16SX10,USA,1
R_8xfTSP0TPWMsL9X,A39HM489P9ATDT,USA,1
R_0B6cMkMpWqZm89n,A39MOCMDRIOSJM,USA,1
R_bNIHxzYC1iuSMXb,A39QOA9M7GNF86,India,1
R_87YmVzGvFayMsvP,A3A3N7W6C3B9WZ,India,1
R_74yaNLYUl94dZT7,A3AUC5AH4O8HMD,USA,1
R_cMv4T4b4RNiU3E9,A3BFMY5OX2WMUW,USA,1
R_3epRtojtK23qCax,A3BH4I2ZV89I6L,USA,1
R_b7NA1fewASMTv13,A3BPS4K97FAU7O,USA,1
R_1RpgdFXyGDIi2a1,A3BUWQ5C39GRQC,USA,1
R_6YfPwBhGnljzt2t,A3CNDLG7MQWPUU,USA,1
R_em05ezifgJiv09f,A3CNS8EZ9VQ241,USA,1
R_4TKjFssFXkoAf3L,A3CO5374TFUFEK,USA,1
R_9BsadGk7KZK7a0l,A3D6DQGF78M17W,USA,1
R_7VWdMmEdVLxis1T,A3DFCGAXJHV1P9,India,1
R_exO7m52MzVIksW9,A3DFJV1RD653DQ,USA,1
R_9ZYbpKY5KwGKewt,A3DRA9UGT045XY,USA,1
R_7QDYydfVH9gig61,A3DW9225IX9OOJ,USA,1
R_blPoDZKGTlIIgqV,A3DXL2YZRL2HWD,USA,1
R_0j2qcPvB6ioUaHP,A3DY78Q4FCWTXX,North America,1
R_cS9OlzfA6EUZI69,A3DZONQBLC3T42,USA,1
R_2bkcXip0Xh6UuLH,A3E8SAQITIYUTJ,USA,1
R_3ZZ9Z1mDSQTLySN,A3EDRTRXMVIEJH,USA,1
