"","a","mTurkCode","V8","V9","V10","X6","Cognitive load","Had read","Q1","Q2_1","Q3","Q4_1","Q6","Q7_1","Q8","Q9_1","Q11_1","Q14_1","Q13","end.num","eff.split","badness","importance","count.eff","count.hard"
"1","ResponseID","mTurkCode","StartDate","EndDate","Finished","Exclude","Cognitive load","Had read","Please read the directions carefully. /  /    /  /  In this short study, you will be asked to complete two t...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /   /   /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the directions carefully. /   /   /  /   In this short study, you will be asked to complete two...","Start with the number: 564 /  /    /  /  While counting backwards, read the following scenario. /  /    /  /  /  Imagi...-&nbsp;","STOP COUNTING! What number did you end on?","It / is often very difficult to complete two tasks simultaneously. Please indicate / how much effort you...-&nbsp;","Please read the following scenario carefully. /  /   /  Imagine that you are in a large lecture with a few...-&nbsp;","Please read the following scenario carefully.  /    /  /  Imagine that you are in a large lecture with a f...-&nbsp;","Thank you for participating in this study. ξ If you have any comments about it, please enter them...",NA,NA,NA,NA,NA,NA
"120","R_2dK14pF9W4usLaj","4235576","4/5/17 16:25","4/5/17 16:29","1",NA,"1","1","1","0","550","0",NA,NA,NA,NA,NA,NA,NA,550,0,NA,NA,NA,NA
"121","R_2c7REuTcDQ7iE96","4231594","4/5/17 16:59","4/5/17 17:15","1",NA,"1","0",NA,NA,NA,NA,"1","1","564","1",NA,NA,NA,564,1,NA,NA,NA,NA
"122","R_2TRwTdv8z7B7uxj","4232645","4/5/17 16:59","4/5/17 17:16","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA
"123","R_3HSPy6OmMuGDYUD","4235293","4/5/17 16:59","4/5/17 17:16","1",NA,"1","1","1","5","34","1",NA,NA,NA,NA,NA,NA,"None",34,1,NA,NA,NA,NA
"124","R_9RbBe9BnbXS5HiN","4236626","4/5/17 17:21","4/5/17 17:46","1",NA,"1","1","1","8","543","1",NA,NA,NA,NA,NA,NA,"I started counting and then lost count once I started reading so then by the end of the paragraph, my attention went from counting to reading.",543,1,NA,NA,NA,NA
"125","R_1NanvfeJegVfWhx","4233977","4/5/17 17:21","4/5/17 17:47","1",NA,"1","1","1","5","537","0",NA,NA,NA,NA,NA,NA,NA,537,0,NA,NA,NA,NA
"126","R_vN1LiCc634gbbtT","4236007","4/5/17 17:21","4/5/17 17:48","1",NA,"1","1","1","2","561","1",NA,NA,NA,NA,NA,NA,"I cant count and read at the same time",561,1,NA,NA,NA,NA
"127","R_10Yh9Xg7lmGzFMV","4238366","4/6/17 13:33","4/6/17 13:35","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"128","R_2tDu1bgkTY2sjuL","4234061","4/6/17 13:34","4/6/17 13:35","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"129","R_2TuEYR0lGGXc8P7","4237636","4/6/17 13:33","4/6/17 13:35","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"130","R_OkeL5hUAKZcBWVz","4239693","4/6/17 13:35","4/6/17 13:38","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA
"131","R_1OPjt5VH6PfADEf","4238027","4/7/17 14:37","4/7/17 14:49","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","no",NA,NA,NA,NA,NA,NA
"132","R_3HC68oAqxvJI11Z","4233665","4/7/17 14:34","4/7/17 14:50","1",NA,"0","1",NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA
"133","R_1gT8kxRv1F8fLOq","4233706","4/7/17 14:33","4/7/17 14:52","1",NA,"1","0",NA,NA,NA,NA,"1","0","543","4",NA,NA,NA,543,4,NA,NA,NA,NA
"134","R_1P5kXcyOeXC8hhx","4238124","4/7/17 14:53","4/7/17 15:19","1",NA,"0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA
"135","R_1f0Nw9SQsGTmVmA","4239360","4/7/17 15:05","4/7/17 15:22","1",NA,"1","0",NA,NA,NA,NA,"1","1","504","3",NA,NA,"No comments.",504,3,NA,NA,NA,NA
"136","R_2b2lebFOYewdEz2","4233944","4/7/17 15:01","4/7/17 15:24","1",NA,"1","1","1","8","558","1",NA,NA,NA,NA,NA,NA,NA,558,1,NA,NA,NA,NA
